Days,Alabama,Alaska,Arizona,Arkansas,Belgium,California,Colorado,Connecticut,DC,Delaware,Florida,France,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Sweden,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Albania,Austria,Belarus,Denmark,Germany,Italy,Finland,Greece,Ireland,Kosovo,Netherlands,Poland,Portugal,Romania,Russia,Serbia,Spain,Switzerland,Ukraine,United Kingdom,Canada,China,India,Japan,South Africa,Brazil,Mexico,Australia,Synthetic 1,Synthetic 2,Synthetic 3,Synthetic 4,Synthetic 5,Synthetic 6,Synthetic 7,Synthetic 8,Synthetic 9,Synthetic 10,Synthetic 11,Synthetic 12,Chile
24,208,13,157,55,1195,216,326,557,91,57,245,1861,236,16,24,922,380,74,77,110,1187,24,247,1017,1499,53,183,178,17,14,91,81,1949,92,5941,64,18,349,92,58,626,116,114,36,200,328,429,171,31,131,189,41,201,11,20,550,161,69,5940,2823,193,74,302,10,637,224,633,263,601,111,4047,1237,155,1035,125,2607,75,59,27,502,178,611,2553,2734,2626,2733,,26,266,2617,1,2,48,,304
25,165,9,239,5,1199,261,254,429,67,143,504,1617,349,23,70,986,401,51,67,84,2728,14,323,698,1878,47,100,76,21,50,209,48,2299,49,5688,267,9,355,75,83,715,160,150,22,123,640,410,178,32,229,257,13,178,13,16,453,205,65,4049,4000,0,95,294,26,573,193,549,160,582,305,4569,894,68,665,331,2974,149,47,82,487,202,114,2757,2826,2851,2852,,21,303,2652,3,2,40,,299
26,192,11,129,110,1363,307,313,267,104,80,507,1847,1084,25,40,717,478,65,85,73,1147,29,346,797,1556,76,177,355,0,24,122,46,2262,80,8771,235,15,409,144,47,841,147,158,25,160,179,341,192,30,262,368,56,186,8,18,375,420,131,3276,3526,95,95,200,19,545,256,724,308,658,148,5446,1044,143,967,128,2490,106,33,43,352,253,600,2930,2961,2932,3072,,28,314,2920,,4,46,,230
27,301,11,115,74,1519,389,362,1091,145,110,720,1559,631,7,22,1209,399,85,51,15,2201,20,427,868,1408,70,88,315,13,24,91,32,3250,62,6266,309,15,427,53,90,808,221,210,28,110,164,343,44,23,195,116,22,196,9,27,607,495,133,3311,4207,71,56,295,14,811,243,902,192,954,284,4866,774,206,1427,216,2028,92,26,80,323,296,376,3055,3101,3096,3062,,32,332,3000,,6,49,,310
28,340,15,187,70,844,404,356,361,96,145,840,3838,697,23,134,1453,520,87,150,147,514,18,367,1118,1496,51,257,290,22,42,130,41,2060,108,7721,183,23,304,160,72,1216,277,261,48,256,233,523,75,51,305,623,23,155,73,29,855,245,153,4438,5322,62,102,325,3,852,392,792,293,1154,292,4646,925,224,1452,313,15141,180,54,70,1138,346,367,3116,3272,3166,3139,,36,306,3254,,8,41,,289
29,170,5,169,80,683,539,382,399,99,188,905,2446,523,21,59,919,462,82,61,139,1853,23,484,1228,1722,83,209,212,11,38,217,31,3559,71,8707,285,10,407,111,101,1399,288,146,32,238,273,814,123,32,397,562,59,173,17,28,796,352,169,2342,5986,72,61,212,23,1019,437,446,215,1175,247,7691,1000,311,2129,1426,4156,146,51,31,1119,396,212,3182,3283,3339,3177,,23,368,3283,,3,50,,293
30,254,8,250,69,1738,877,454,1231,114,93,752,2931,416,13,13,986,549,78,64,9,1417,26,436,1436,1369,85,173,260,12,61,138,66,3335,124,8153,350,24,333,74,68,1690,334,217,73,296,215,550,120,16,228,541,28,138,23,16,606,341,155,4954,6557,97,139,402,33,1172,244,1035,278,1459,219,8553,1390,308,2885,633,2538,568,56,63,1074,260,431,3240,3275,3303,3354,,41,310,3380,,7,53,,373
31,321,8,250,56,1681,855,392,875,229,117,1047,3922,359,5,19,1287,558,102,102,232,746,30,326,1334,1155,88,139,225,10,53,150,44,4305,101,8996,203,28,366,102,64,1480,316,132,54,240,257,821,123,21,241,586,14,178,21,6,1141,362,194,5780,5560,267,99,424,79,1159,475,808,445,1786,201,8954,1048,266,2546,657,2007,336,62,96,1146,403,284,3356,3349,3285,3345,,23,330,3431,,8,58,,333
32,222,7,197,26,1503,651,376,1000,83,153,1027,3809,816,9,42,1529,442,97,55,104,1253,17,1158,764,1271,93,161,136,7,47,114,56,4229,84,10329,228,46,364,99,49,1485,311,183,89,401,236,793,105,4,455,283,37,129,9,17,668,447,182,6294,4789,45,60,331,18,1104,311,783,430,1667,238,9181,1122,325,2433,711,2052,601,43,89,1222,375,464,3273,3365,3331,3333,,31,322,3319,,3,47,,424
33,148,9,111,52,1460,755,222,1003,137,146,1231,4611,1598,13,39,1344,414,125,47,132,970,65,656,1337,1209,92,145,228,5,56,140,35,3381,71,12274,255,89,366,115,58,1507,275,185,90,253,210,551,97,7,312,113,49,183,0,9,594,476,283,3965,5249,249,62,507,15,884,435,852,251,2186,275,8244,1138,270,2619,869,1890,472,34,69,852,442,150,3299,3242,3380,3332,,27,312,3309,,7,48,,310
